1;fr;Quel grand concours musical France Gall a-t-elle remporté en 1965 ?;Eurovision;Nouvelle Star;Intervilles;Miss France;Débutant;Le Concours fut diffusé dans les pays d'Europe de l'Est via le réseau Intervision, avec une audience de 150 millions de téléspectateurs.;https://fr.wikipedia.org/wiki/France_Gall
2;fr;Quel musicien deviendra en 1976 l'époux puis le compositeur de France Gall ?;Michel Berger;Gilbert Bécaud;Daniel Lavoie;Daniel Guichard;Débutant;Avec La Déclaration d'amour, Michel Berger relancera la carrière de la chanteuse et produira tous ses albums à partir de 1975.;https://fr.wikipedia.org/wiki/Michel_Berger
3;fr;Quelle comédie musicale de 2015 a été écrite par France Gall et Bruck Dawit ?;Résiste;Annie;Grease;Mathilda;Débutant;Cette comédie musicale a obtenu en 2017 le Trophée du public lors de la première cérémonie des Trophées de la Comédie Musicale.;https://fr.wikipedia.org/wiki/Résiste_(comédie_musicale)
4;fr;Qui a écrit et composé la chanson de France Gall Laisse tomber les filles ?;Serge Gainsbourg;Claude François;Jacques Dutronc;Eddy Mitchell;Débutant;France Gall ordonne aux garçons volages de renoncer aux filles tout en proférant des menaces s'ils persistent dans cette mauvaise voie.;https://fr.wikipedia.org/wiki/Laisse_tomber_les_filles
5;fr;Qui aurait déclaré à France Gall: Tu as gagné, mais tu m'as perdu. ?;Claude François;Julien Clerc;Daniel Balavoine;Hugues Aufray;Débutant;Claude François lui a annoncé la rupture de leur couple juste après l'annonce de sa victoire au Concours Eurovision de la chanson.;https://fr.wikipedia.org/wiki/Claude_François
6;fr;Quel titre de France Gall est célèbre pour ses deux niveaux de lecture ?;Les Sucettes;La Cloche;Il neige;La Petite;Débutant;L'un décrit la scène innocente d'une fillette friande de sucettes achetées au drugstore, l'autre décrit implicitement une fellation.;https://fr.wikipedia.org/wiki/Les_Sucettes
7;fr;En hommage à quel artiste disparu France Gall a-t-elle chanté Évidemment ?;Daniel Balavoine;Coluche;Michel Berger;Sacha Distel;Débutant;Lors de l'enregistrement de la chanson, France Gall dut s'y reprendre plusieurs fois tellement le texte la touchait.;https://fr.wikipedia.org/wiki/Évidemment_(chanson)
8;fr;Dans quel album retrouve-t-on à la fois France Gall et Michel Berger ?;Double Jeu;France Gall;Débranche !;Baby pop;Débutant;Michel Berger et France Gall présentèrent leur album à leurs proches lors d'une session au club de jazz le New Morning en 1992.;https://fr.wikipedia.org/wiki/Double_Jeu_(album)
9;fr;Quelle artiste a sorti l'album Ma déclaration proposant des reprises de France Gall ?;Jenifer;Alizée;Lââm;Lorie;Débutant;Suite à la polémique avec France Gall, la promotion de l'album s'arrêta le 22 juin 2013, Jenifer ne souhaitant pas poursuivre.;https://fr.wikipedia.org/wiki/Ma_déclaration
10;fr;Quel titre France Gall a-t-elle sorti en hommage à la chanteuse Ella Fitzgerald ?;Ella, elle l'a;Résiste;Calypso;Babacar;Débutant;Il s'agit du plus grand succès musical de France Gall, qui s'est vendu à 1.5 million d'exemplaires dans le monde, dont 452 000 en France.;https://fr.wikipedia.org/wiki/Ella,_elle_l'a
